t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
0.321678,0.235224,-0.0336813,0.0190469,-0.00671315,0.00366803,0.000632625,-2.60209e-18,-1.08101,1.31534,0.267437,-0.00458505,0.0264471,0.00726165,
0.331237,0.235637,-0.0322287,0.0193292,-0.00671315,0.00145264,0.000282348,1.73472e-18,-1.08135,1.3149,0.268636,0.000317109,0.019086,0.00902571,
0.343792,0.235461,-0.0336106,0.0214687,-0.00671315,-0.00138187,0.00213946,-1.73472e-18,-1.08204,1.31417,0.270104,-0.00100177,0.0175039,0.00719755,
0.357983,0.234938,-0.0351733,0.021564,-0.00671315,-0.00156272,9.53386e-05,1.73472e-18,-1.08318,1.31286,0.273151,0.00237459,0.0153599,0.00693597,
0.360794,0.235107,-0.0357632,0.021299,-0.00671315,-0.000589881,-0.000265035,-8.67362e-19,-1.08318,1.31286,0.273151,0.00237459,0.0153599,0.00693597,
0.36557,0.234989,-0.0363327,0.0223403,-0.00671315,-0.000569503,0.0010413,8.67362e-19,-1.08379,1.31237,0.274615,0.0015141,0.012375,0.00504088,
0.373869,0.235303,-0.0363502,0.022346,-0.00671315,-1.75304e-05,5.72933e-06,0,-1.08379,1.31237,0.274615,0.0015141,0.012375,0.00504088,
0.384259,0.235427,-0.0362455,0.0232198,-0.00671315,0.000104683,0.000873837,0,-1.08433,1.31191,0.276056,-0.00188059,0.010095,0.00510331,
0.393371,0.233969,-0.0335604,0.0246819,-0.00671315,0.0026851,0.00146202,-8.67362e-19,-1.08535,1.31104,0.278174,0.00102142,0.0117888,0.00530532,
0.403065,0.233983,-0.0344986,0.024391,-0.00671315,-0.000938176,-0.000290902,-8.67362e-19,-1.08564,1.31057,0.279394,-0.00230956,0.0143724,0.00704781,
0.418977,0.234399,-0.033641,0.0237895,-0.00671315,0.000857596,-0.000601459,8.67362e-19,-1.08583,1.31032,0.279951,-0.00269092,0.0125797,0.00644692,
0.424471,0.233226,-0.0364022,0.0233462,-0.00671315,-0.00276125,-0.000443323,-8.67362e-19,-1.08583,1.31032,0.279951,-0.00269092,0.0125797,0.00644692,
0.43366,0.233551,-0.0364191,0.0233536,-0.00671315,-1.68365e-05,7.44195e-06,0,-1.08743,1.30887,0.284587,0.000867031,0.0119719,0.0057176,
