t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.37021,0.205275,-0.0262174,0.00125487,-0.0075034,0.000385691,-0.000578452,-8.67362e-19,-0.793977,0.955258,0.142486,0.0255673,0.0181936,0.00504089,
5.38555,0.205493,-0.0260354,0.00186885,-0.0075034,0.000181959,0.000613976,0,-0.794097,0.954471,0.144548,0.0263458,0.0159854,0.00436694,
5.3903,0.204056,-0.0298642,0.000936518,-0.0075034,-0.00382882,-0.000932329,0,-0.794321,0.953118,0.147679,0.0261221,0.0210792,0.00735223,
5.39924,0.204029,-0.0300123,-0.000166474,-0.0075034,-0.000148059,-0.00110299,0,-0.794641,0.952098,0.149855,0.0259746,0.0172082,0.00664984,
5.41009,0.204128,-0.0301505,0.000780309,-0.0075034,-0.000138225,0.000946783,-8.67362e-19,-0.794871,0.951062,0.152059,0.0252247,0.0134841,0.00678072,
5.42238,0.203203,-0.0279511,0.00307662,-0.0075034,0.00219944,0.00229631,2.60209e-18,-0.795194,0.950042,0.1543,0.028776,0.0179861,0.00697556,
5.42924,0.203126,-0.0289372,0.00207785,-0.0075034,-0.000986157,-0.000998768,-8.67362e-19,-0.795438,0.949027,0.156711,0.0254557,0.015726,0.0074046,
5.44646,0.203329,-0.0283338,0.00265351,-0.0075034,0.000603437,0.000575659,0,-0.795529,0.947995,0.15905,0.0249425,0.0145277,0.00868658,
5.45761,0.203021,-0.0292824,0.00455222,-0.0075034,-0.000948604,0.00189871,8.67362e-19,-0.795757,0.946851,0.161443,0.0246366,0.0138409,0.00947106,
5.46564,0.203109,-0.029394,0.00476498,-0.0075034,-0.000111643,0.000212761,-1.73472e-18,-0.796047,0.945745,0.163637,0.0238645,0.0140682,0.00818862,
5.47481,0.2032,-0.0294041,0.00473382,-0.0075034,-1.0073e-05,-3.11565e-05,8.67362e-19,-0.796332,0.944748,0.165881,0.0247884,0.0165114,0.00831559,
5.48321,0.203269,-0.0297826,0.00420969,-0.0075034,-0.000378507,-0.000524136,-8.67362e-19,-0.796762,0.943707,0.168039,0.0236269,0.0167636,0.00700682,
5.49281,0.203467,-0.0331945,0.00444963,-0.0075034,-0.00341185,0.000239938,1.73472e-18,-0.796978,0.942562,0.170339,0.0193462,0.015382,0.00908089,
5.5013,0.203738,-0.0323777,0.00485691,-0.0075034,0.000816726,0.000407283,-8.67362e-19,-0.797262,0.941495,0.172502,0.0222829,0.0193212,0.00940063,
5.51276,0.203726,-0.0332335,0.00398408,-0.0075034,-0.000855729,-0.000872828,-8.67362e-19,-0.7976,0.940355,0.174602,0.0183695,0.0196782,0.008423,
5.51971,0.203969,-0.0325201,0.00393219,-0.0075034,0.000713359,-5.18866e-05,8.67362e-19,-0.797907,0.939254,0.176637,0.0185814,0.0201552,0.00874869,
5.53033,0.205376,-0.033471,0.00358681,-0.0075034,-0.000950878,-0.000345383,-8.67362e-19,-0.798221,0.938162,0.178676,0.0188048,0.0215191,0.00917563,
5.54249,0.205463,-0.0337013,0.00332358,-0.0075034,-0.000230347,-0.000263226,-8.67362e-19,-0.798511,0.93731,0.179731,0.0224365,0.0238503,0.0061299,
5.55147,0.205483,-0.0347224,0.00274114,-0.0075034,-0.00102111,-0.000582443,1.73472e-18,-0.798901,0.93578,0.18254,0.0177983,0.0191379,0.00739406,
