t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.37181,0.205952,-0.029026,0.00310498,-0.0293172,-0.000446299,0.000300527,0,-0.360819,1.44674,0.144495,0.0355344,0.0125857,-0.0192697,
5.38421,0.203393,-0.0260133,0.00632013,-0.0293172,0.00301268,0.00321515,-1.04083e-17,-0.361351,1.44606,0.147478,0.0353908,0.0166546,-0.0180477,
5.39141,0.203363,-0.0260772,0.00546702,-0.0293172,-6.38952e-05,-0.000853107,6.93889e-18,-0.361351,1.44606,0.147478,0.0353908,0.0166546,-0.0180477,
5.40227,0.203689,-0.0261029,0.00546532,-0.0293172,-2.57008e-05,-1.70786e-06,-3.46945e-18,-0.362232,1.4445,0.153282,0.0297151,0.0155412,-0.0186758,
5.41489,0.202466,-0.0260797,0.00632052,-0.0293172,2.31827e-05,0.000855204,0,-0.362861,1.44373,0.156348,0.0304488,0.0185468,-0.0176851,
5.42187,0.202423,-0.0263621,0.00573305,-0.0293172,-0.000282365,-0.000587472,6.93889e-18,-0.363231,1.44297,0.159159,0.0295847,0.0170834,-0.0168386,
5.4316,0.202748,-0.0263865,0.00573098,-0.0293172,-2.4394e-05,-2.06741e-06,0,-0.363231,1.44297,0.159159,0.0295847,0.0170834,-0.0168386,
5.44239,0.202791,-0.0263036,0.00614235,-0.0293172,8.28825e-05,0.000411366,0,-0.364349,1.44117,0.165059,0.0314388,0.0177426,-0.0165712,
5.45368,0.203195,-0.0317459,0.00450397,-0.0293172,-0.00544237,-0.00163838,3.46945e-18,-0.364761,1.44037,0.167768,0.0290694,0.0142327,-0.0169809,
5.46247,0.203319,-0.0313327,0.00538129,-0.0293172,0.000413288,0.000877319,-1.04083e-17,-0.364987,1.4401,0.168611,0.0312535,0.0168342,-0.0168335,
5.47184,0.203457,-0.0318991,0.00480786,-0.0293172,-0.000566488,-0.000573426,3.46945e-18,-0.365622,1.43925,0.171381,0.0306627,0.0180201,-0.0159996,
5.48478,0.205435,-0.0310722,0.00620679,-0.0293172,0.000826979,0.00139892,6.93889e-18,-0.366644,1.4379,0.175746,0.031663,0.0204622,-0.0165481,
5.49287,0.204967,-0.0314831,0.00561314,-0.0293172,-0.000410884,-0.000593641,-1.04083e-17,-0.366983,1.43703,0.178547,0.028719,0.0146187,-0.0151389,
5.50167,0.205088,-0.0309248,0.00707532,-0.0293172,0.000558252,0.00146218,-3.46945e-18,-0.367206,1.43671,0.179378,0.0288422,0.0142445,-0.0153573,
5.51543,0.20676,-0.0310387,0.00857668,-0.0293172,-0.000113911,0.00150135,3.46945e-18,-0.368328,1.43516,0.183523,0.0284603,0.0152372,-0.0151593,
5.52186,0.206548,-0.0312616,0.00863777,-0.0293172,-0.000222902,6.10942e-05,3.46945e-18,-0.368942,1.43428,0.185927,0.0276977,0.0120767,-0.0151404,
